Arcana,CardGroup,CardId,Card,DirectReading,ReverseReading,Meaning
Major,,16,The Devil,"Ravage, weird or strange experience, downfall, unexpected failure, controversy, violence, disaster, an ill-tempered person","Divorce, release, handicaps are overcome, enlightenment",
Major,,17,The Tower,"A sudden change, abandonment of past, ending a friendship, unexpected events, disruption, bankruptcy, downfall, loss of money or security","Following old ways, a rut, entrapment, caught in a bad situation, imprisonment",
Major,,18,The Star,"Hope, faith, inspiration, optimism, insight, spiritual love, pleasure, balance","Unfulfilled hopes, disappointment, dreams are crushed, bad luck, imbalance",
Major,,19,The Moon,"Deception, trickery, disillusionment, error, danger, disgrace, double-dealing","Deception is discovered before damage can be done, trifling mistakes, taking advantage of someone",
Major,,20,The Sun,"Satisfaction, accomplishment, success, love, joy, engagement or a happy marriage","Unhappiness, loneliness, canceled plans, broken engagement or marriage, a clouded future, a lack of friends",
Major,,21,Judgment or Rejuvenation,"Awakening, renewal, a well lived life, better health, a quickened mind","Fear of death, failure, possible loss, ill health or Upright",
Major,,22,The World,"Completion, perfection, recognition, honors, the end result, success, fulfillment, triumph, eternal life","Imperfection, lack of vision, disappointment",
Minor,Wands,23,Ace of wands,"A creative beginning, a new business venture, a profitable journey, an inheritance, a new career, a birth in the family","Selfishness may spoil the venture, setbacks for a new enterprise, a journey may be put off, a lack of determination",
Minor,Wands,24,Two of Wands,"A kind and generous person, an interest in science, patience, creative ability, courage, good things to come","Caution is advised against impatience, a possible domination by others",
Minor,Wands,25,Three of Wands,"A cooperation in business affairs, trade and commerce, success brought by a good partnership, practical help may come from a successful person","A tendency to scatter energies, mistakes are made through carelessness, disappointment, caution against pride and arrogance",
Minor,Wands,26,Four of Wands,"The beauty of the harvest home, perfected work, prosperity, peace, celebration after labor, end of romance in marriage, happy holidays to come","Learning to appreciate the little things in life, beauty of nature, peace, harmony",
Minor,Wands,27,Five of Wands,"Competition, possibility of a lawsuit or quarrel, obstacles, courage","Harmony, new opportunities, generosity",
Minor,Wands,28,Six of Wands,"Good news, victory, success after labor, helpful friends, leadership during journey","Rewards are delayed, postponed trip, bad news, an insolent winner, pride in riches/success",
Minor,Wands,29,Seven of Wands,"The ability to ""hold one's own"" against adversaries, stiff competition in business, a fight won, a fight one may have to face soon, victory, energy, courage","The threat will pass by, don't let others take advantage, caution against indecision, patience",
Minor,Wands,30,Eight of Wands,"A Goal is approaching, new ideas, a journey by air, love will find its mark, love of open air, gardens, meadows","Jealousy, violence, quarrels, domestic disputes, a force of courage or boldness is applied to suddenly",
Minor,Wands,31,Nine of Wands,"Preparedness, eventual victory, good health, strength in reserve, tendency to obstinacy","Unpreparedness, refusal to fight, weakness in character, ill health, bending over adversity",
Minor,Wands,32,Ten of Wands,"An oppressive load, pain, all plans or projects ruined, complete failure","Strength, energy, a desire to ruin the happiness of others, a clever person",
Minor,Wands,33,Page of Wands,"Brilliance, courage, beauty, sudden anger or love, great enthusiasm, a messenger","Superficial, theatrical, unstable, a broken heart, bad news to come",
Minor,Wands,34,Knight of Wands,"An impetuous nature, generous friend, a lover, haste, a journey, the coming or going of a matter is of much concern","Discord, work interrupted, jealousy, narrow-mindedness, suspicion, the journey is delayed",
Minor,Wands,35,Queen of Wands,"A woman, fondness of nature or of the home, attraction, command, someone who is well liked or honorable","Strict, domineering, a jealous and revengeful nature, deceit, infidelity",
Minor,Wands,36,King of Wands,"A gentlemen, father, passionate, generous, noble, a good leader","Severe, unyielding, strict, intolerance, prejudice, quarrels",
Minor,Cups,37,Ace of Cups,"The beginning of love, joy, beauty, or good health","Hesitancy to accept the things that come from the heart, love under a selfish grasp, egotism",
Minor,Cups,38,Two of Cups,"A new romance, a well balanced friendship is beginning, harmony, cooperation","A loss of balance in a relationship, a violent passion, love turning bad, a misunderstanding",
Minor,Cups,39,Three of Cups,"A good fortune in love, a happy conclusion, unknown talents are discovered, a sensitive and sympathetic person, hospitality","Pain, gossip, unknown talents remain hidden, overindulgence",
Minor,Cups,40,Four of Cups,"Reevaluation, a dissatisfaction with success, kindness may come from others","New relationships possible, new goals, new ambitions, action",
Minor,Cups,41,Five of Cups,"Sorrow, loss of a loved one, a broken marriage, disillusionment, vain regret","Return of hope, new relationships are beginning, return of a loved one, courage is summoned from within",
Minor,Cups,42,Six of Cups,"A gift from a childhood acquaintance, happiness and pleasure brought from the past, good memories, a new friendship, a gift from an admirer, new opportunities","Living in the past, outworn friendships, disappointment",
Minor,Cups,43,Seven of Cups,"A long-worked imagination, unable to choose one's direction in life, illusory success","A good use of determination, will-power, a definite path will be chosen",
Minor,Cups,44,Eight of Cups,"An abandonment of one's current path in life, disappointment in love, misery and repining without cause, desire to leave on'e success for something higher","Search for pleasure, seeking joy or success, a new love interest",
Minor,Cups,45,Nine of Cups,"An assured future, physical well-being, a wish may come true","A lack in money, overindulgence, illness, a wish may not come true",
Minor,Cups,46,Ten of Cups,"A happy family life, true friendships, lasting happiness","A family quarrel, loss of a friendship, children may turn against their parents, waste",
Minor,Cups,47,Page of Cups,"Gentleness, sweetness, kindness, an interest in poetry or art, news","Selfishness, little desire to create, a poor imagination",
Minor,Cups,48,Knight of Cups,"Intelligence, romantic dreamer, the coming or going of an emotional matter","Trickery, fraud, sensuality, idleness, an untruthful person",
Minor,Cups,49,Queen of Cups,"Imagination out-ways one's common sense, a good wife or loving mother, happiness, gentle, a good natured person","An over-active imagination, perverse, pleasure and happiness may turn bitter",
Minor,Cups,50,King of Cups,"A business man, a man of law, kindness, a considerate person, a willingness to take on responsibility, and enjoyment of the arts or sciences","A powerful man but a double-dealer, crafty, violent, scandal",
Minor,Swords,51,Ace of Swords,"Beginning of a victory, ability to love and hate with ardor, a valiant leader may be born","Caution when trying to use power to gain an ending, obstacles, tyranny",
Minor,Swords,52,Two of Swords,"Well balanced emotions are needed, indecision, trouble ahead, in need of direction","Release, beware when dealing with the unscrupulous",
Minor,Swords,53,Three of Swords,"Affections may experience ""stormy weather"", lovers separated, possible civil war","Disorder, confusion, loss, sorrow due to loss",
Minor,Swords,54,Four of Swords,"Rest after strife, retreat, temporary exile, a change back to the ""active life""","Renewed activity, social unrest, labor strikes",
Minor,Swords,55,Five of Swords,"Failure, defeat, cowardliness, cruelty, an empty victory","A lesser chance of loss or defeat, an empty victory, unfairness in dealings",
Minor,Swords,56,Six of Swords,"A journey, passage away from sorrow, harmony will prevail","Journey will be postponed, no way out of present obstacles or difficulties",
Minor,Swords,57,Seven of Swords,"An unwise attempt, unreliability, betrayal, insolence, spying, possible failure","Excessive help is given, good advice, counsel, stolen items are returned",
Minor,Swords,58,Eight of Swords,"Restricted action, indecision, censure, temporary illness, weakness, a prisoner","Relaxation, new beginnings possible, freedom",
Minor,Swords,59,Nine of Swords,"Suffering, doubt, desolation, illness, injury, death of a loved one, suspicion, cruelty, misery, loss, dishonesty, pitilessness, slander","Healing over time, unselfishness, patience, good news of a loved one",
Minor,Swords,60,Ten of Swords,"Sudden misfortune, ruin of plans, defeat, failure, pain and tears","Evil forces are overthrown, courage, some success, better health",
Minor,Swords,61,Page of Swords,"Dexterity, grace, diplomacy, understanding, an upsetting message","A cunning person, an imposture, ill health, unexpected events",
Minor,Swords,62,Knight of Swords,"A headlong rush into life, a strong man, bravery, a skillful and clever person, an unexpected coming or going of a matter","Tyranny, a troublemaker, a crafty and secretive person",
Minor,Swords,63,Queen of Swords,"A quick and confident decision, a widow, one who can bear their sorrow","Cruelty due to keen observations, a sly and deceitful person, narrowmindedness, a gossip",
Minor,Swords,64,King of Swords,"A judge, a powerful commander, a firm friendship holder but often overcautious, a wise counselor","Evil intentions, an obstinate person, decisions or judgments may seem unfair",
Minor,Pentacles,65,Ace of Pentacles,"A new business venture, the beginning of prosperity, beginning of happiness or pleasure","Possible greed or misery, money may not be everything",
Minor,Pentacles,66,Two of Pentacles,"The ability to handle multiple situations, harmony is maintained during change, new projects may be difficult, expect a helpful message","Difficulty with handling problems, expect a discouraging message",
Minor,Pentacles,67,Three of Pentacles,"Reward for skills or abilities, approval, success through effort","Quality in workmanship is neglected, good work is expended due to a preoccupation with money, common place ideals or ambitions",
Minor,Pentacles,68,Four of Pentacles,"Love of power or money, a lack of give-and-take, miserly or ungenerous nature","Some earthly possessions may be lost, obstacles or delays in business affairs, a spendthrift.",
Minor,Pentacles,69,Five of Pentacles,"Loneliness, destitution, loss of possessions, poor health, despair due to spiritual impoverishment","New employment, revived courage, a new interest",
Minor,Pentacles,70,Six of Pentacles,"Sharing of prosperity, one will soon receive what is rightfully theirs, charity, gifts, philanthropy, three-fold","Bribes, unfairness, prosperity is threatened, jealousy, miserliness",
Minor,Pentacles,71,Seven of Pentacles,"Effort and hard work will cause growth, a pause during development, reevaluations","Little progress, impatience, anxiety, investments may be unprofitable",
Minor,Pentacles,72,Eight of Pentacles,"Learning a trade or profession, employment is coming soon, skill, handiwork, small money gain","Skills are not being used properly, a dislike of hard work, ambition is void",
Minor,Pentacles,73,Nine of Pentacles,"Well-being, things in life are enjoyed alone, solitude, a green thumb","Loss is possible, danger from thieves, caution",
Minor,Pentacles,74,Ten of Pentacles,"Stable family, gain in wealth, property is acquired","Family misfortune, caution, mind is dull, slothfulness",
Minor,Pentacles,75,Page of Pentacles,"Scholar, generosity, kindness, a careful person, learning new ideas/opinions","Wastefulness, luxury, rebellious, opposing ideas/opinions, bad news",
Minor,Pentacles,76,Knight of Pentacles,"Trustworthy, a heavy and dull outlook, patience, accepting of responsibilities, an animal lover, a nature lover, the coming/going of a matter","Irresponsible, impatience, timidness, carelessness, a standstill in affairs",
Minor,Pentacles,77,Queen of Pentacles,"Intelligence, thoughtfulness, a creative person, talents are used well, melancholy","Too much dependence, neglected duties, mistrust, suspicion, not a very creative person",
Minor,Pentacles,78,King of Pentacles,"A chief of industry or a banker, a reliable person, a married man, solid, steadiness","Materialistic, slow to anger, 'head is on the ground"", bribes",
